name,country,region,locality,status,has_downhill,has_nordic,downhill_distance_km,nordic_distance_km,vertical_m,min_elevation_m,max_elevation_m,lift_count,surface_lifts_count,run_convention,wikidata_id,websites,openskimap,id,geometry,lat,lng,sources
Centre nordique de l'Auberson,Switzerland,Vaud,Sainte-Croix,operating,no,yes,,35,119,1044,1163,,,europe,,,https://openskimap.org/?obj=ee75cfffc20c92dd7c3e8a45ac85255a432f7c2a,ee75cfffc20c92dd7c3e8a45ac85255a432f7c2a,Point,46.832607,6.455206,https://www.openstreetmap.org/relation/2783322
Domaine Nordique de Pessade,France,Auvergne-Rhône-Alpes,Saulzet-le-Froid,operating,no,yes,,13,266,1179,1445,,,europe,,http://www.tourisme-lescheires.com/les-activites-nordiques.html,https://openskimap.org/?obj=5d0baf79bc790209271afd09bbf3e21c923da6a2,5d0baf79bc790209271afd09bbf3e21c923da6a2,Point,45.626764,2.872105,https://www.openstreetmap.org/relation/2754619
Les Charbonnières - Le Lieu,Switzerland,Vaud,Le Lieu,operating,no,yes,,36,224,1013,1237,,,europe,,,https://openskimap.org/?obj=6a758e543cec035b64c51d78f9e0593189c63b99,6a758e543cec035b64c51d78f9e0593189c63b99,Point,46.662852,6.280118,https://www.openstreetmap.org/relation/2783334
Cauterets Pont d'Espagne,France,,Cauterets,operating,yes,yes,3,11,242,1515,1757,4,2,europe,,,https://openskimap.org/?obj=f9a7b501ed966ed140fc2b5290e472c0a825d9be,f9a7b501ed966ed140fc2b5290e472c0a825d9be,Point,42.84727,-0.159451,https://www.openstreetmap.org/relation/2873910
Méaudre,France,Auvergne-Rhône-Alpes,Autrans-Méaudre en Vercors,operating,no,yes,,32,493,977,1470,,,europe,,,https://openskimap.org/?obj=c7dd57ed04bfd573f9cfc02c0b17ac2e0a745f56,c7dd57ed04bfd573f9cfc02c0b17ac2e0a745f56,Point,45.122663,5.508321,https://www.openstreetmap.org/relation/2801725
Le Risoux,France,,Bellefontaine,operating,no,yes,,26,105,1191,1296,,,europe,,,https://openskimap.org/?obj=fb15f1c35ac4a46465ec5fa36950117c42dc7e36,fb15f1c35ac4a46465ec5fa36950117c42dc7e36,Point,46.536542,6.090363,https://www.openstreetmap.org/relation/3161183
Le Brassus / La Thomassette,Switzerland,Vaud,Le Chenit,operating,no,yes,,65,428,1015,1443,,,europe,,,https://openskimap.org/?obj=47f88d8eb069d5686f3d18ea23694399d26bf452,47f88d8eb069d5686f3d18ea23694399d26bf452,Point,46.565227,6.181271,https://www.openstreetmap.org/relation/3161196
La Givrine,Switzerland,Vaud,Saint-Cergue,operating,no,yes,,4,132,1218,1350,,,europe,,,https://openskimap.org/?obj=d67ecee48bf78aa4db26d2ec793b932c41c2e7d0,d67ecee48bf78aa4db26d2ec793b932c41c2e7d0,Point,46.462337,6.120644,https://www.openstreetmap.org/relation/3533852
Le Mollendruz,Switzerland,Vaud,L’Isle,operating,no,yes,,66,512,999,1511,,,europe,,,https://openskimap.org/?obj=e381d4e039630d6016ed11e6ec9c795a414719e6,e381d4e039630d6016ed11e6ec9c795a414719e6,Point,46.633844,6.349899,https://www.openstreetmap.org/relation/3161200
Grindelwald - Männlichen (Schlittelpiste),Switzerland,,Grindelwald,operating,yes,no,5,,595,1619,2214,4,2,europe,,,https://openskimap.org/?obj=17b19c745f7d69545421bdb985f0b981abfc70ae,17b19c745f7d69545421bdb985f0b981abfc70ae,Point,46.61713,7.966453,https://www.openstreetmap.org/relation/3398479
Punto de Nieves Santa Ines,Spain,Castile and León,Vinuesa,operating,yes,no,1,,74,1752,1826,2,2,europe,,,https://openskimap.org/?obj=37f2df47c64be8ab0767bc65b3118e204e76e88b,37f2df47c64be8ab0767bc65b3118e204e76e88b,Point,42.03815,-2.782441,https://www.openstreetmap.org/relation/3545062
El Morredero,Spain,Castile and León,Ponferrada,operating,yes,no,4,,241,1757,1998,3,3,europe,,,https://openskimap.org/?obj=a005d05d07127924ceabfd883cef8041c3432356,a005d05d07127924ceabfd883cef8041c3432356,Point,42.405821,-6.521758,https://www.openstreetmap.org/relation/3545052
Le Marchairuz,Switzerland,Vaud,Le Chenit,operating,no,yes,,17,113,1269,1382,,,europe,,,https://openskimap.org/?obj=d797f25a011e57655f961c59a3334e050498f6c6,d797f25a011e57655f961c59a3334e050498f6c6,Point,46.535713,6.219531,https://www.openstreetmap.org/relation/3533850
Sarıkamış Cıbıltepe,Turkey,,Sarıkamış,operating,yes,no,15,,462,2165,2627,3,,europe,,,https://openskimap.org/?obj=a00459ece894425bfa699cada452e149ce22f7f1,a00459ece894425bfa699cada452e149ce22f7f1,Point,40.301595,42.60374,https://www.openstreetmap.org/relation/3913810
Karakoli,Greece,,Metsovo,operating,yes,no,3,,176,1377,1553,3,2,europe,,,https://openskimap.org/?obj=aa7c1057c865309947c4432c984e1809570ea61b,aa7c1057c865309947c4432c984e1809570ea61b,Point,39.782078,21.15443,https://www.openstreetmap.org/relation/3919373
